Date,CoffeeFutures
2008-09-17,1.840000033378601
2008-09-18,2.059999942779541
2008-09-19,1.8320000171661377
2008-09-22,1.9500000476837158
2008-09-23,2.1050000190734863
2008-09-24,2.0450000762939453
2008-09-25,2.049999952316284
2008-09-26,2.057499885559082
2008-09-29,2.0
2008-09-30,2.0199999809265137
2008-10-01,2.049999952316284
2008-10-02,2.067500114440918
2008-10-03,2.0350000858306885
2008-10-06,1.9500000476837158
2008-10-07,1.9110000133514404
2008-10-08,1.8600000143051147
2008-10-09,1.8650000095367432
2008-10-10,1.8700000047683716
2008-10-13,1.9249999523162842
2008-10-14,1.9900000095367432
2008-10-15,1.940000057220459
2008-10-16,1.8899999856948853
2008-10-17,1.940000057220459
2008-10-20,1.9600000381469727
2008-10-21,1.9600000381469727
2008-10-22,1.9950000047683716
